Installed 1 package in 10ms
src/custos/core/contracts.py:121: unused variable 'SECTION_QUALITY' (60% confidence)
src/custos/core/factors/__init__.py:53: unused variable 'STATUSES' (60% confidence)
src/custos/core/factors/__init__.py:54: unused variable 'KINDS' (60% confidence)
src/custos/core/factors/__init__.py:60: unused variable 'LIVE_USES' (60% confidence)
src/custos/core/factors/__init__.py:72: unused variable 'KNOWN_STATUS_USE_CONFLICTS' (60% confidence)
src/custos/core/factors/__init__.py:115: unused function 'live_allowed' (60% confidence)
src/custos/core/factors/__init__.py:122: unused function 'released' (60% confidence)
src/custos/core/factors/__init__.py:127: unused function 'live_evidence_only' (60% confidence)
src/custos/core/factors/main_rally_factor.py:64: unused variable 'DEDUP_WIN' (60% confidence)
src/custos/core/factors/s_shape.py:103: unused variable 'EVENT_NEUTRAL' (60% confidence)
src/custos/core/factors/sector_phase.py:33: unused variable 'MACD_FAST' (60% confidence)
src/custos/core/fmt.py:24: unused function 'num_text' (60% confidence)
src/custos/core/paths.py:48: unused variable 'WEEKLY_REPORTS' (60% confidence)
src/custos/core/paths.py:49: unused variable 'MONTHLY_REPORTS' (60% confidence)
src/custos/core/paths.py:63: unused variable 'CLOSE_REVIEW' (60% confidence)
src/custos/core/paths.py:72: unused variable 'DECISIONS_DIR' (60% confidence)
src/custos/core/paths.py:75: unused variable 'REVIEW_STEPS_DIR' (60% confidence)
src/custos/core/paths.py:92: unused variable 'DATA_DOCS_DIR' (60% confidence)
src/custos/core/paths.py:93: unused variable 'RESEARCH_DIR' (60% confidence)
src/custos/core/paths.py:100: unused variable 'RSSHUB_ROUTES_FILE' (60% confidence)
src/custos/core/paths.py:101: unused variable 'B1_DIR' (60% confidence)
src/custos/core/paths.py:103: unused variable 'FACTORS_DIR' (60% confidence)
src/custos/core/paths.py:104: unused variable 'STRATEGY_REGISTRY_FILE' (60% confidence)
src/custos/core/paths.py:111: unused variable 'TDX_VIPDOC' (60% confidence)
src/custos/core/paths.py:115: unused variable 'PYTHON' (60% confidence)
src/custos/core/paths.py:118: unused variable 'CALENDAR_FILE' (60% confidence)
src/custos/core/runtime_guards.py:22: unused function 'clear_calendar_cache' (60% confidence)
src/custos/core/runtime_guards.py:141: unused function 'confirm_position_snapshot' (60% confidence)
src/custos/core/trades/incremental_ledger.py:174: unused function 'apply_positions' (60% confidence)
src/custos/datasource/collect/collect_fund_flow.py:56: unused attribute 'trust_env' (60% confidence)
src/custos/datasource/collect/collect_holding_quotes.py:40: unused variable 'TOOLS_DIR' (60% confidence)
src/custos/datasource/collect/collect_holding_quotes.py:255: unused attribute 'trust_env' (60% confidence)
src/custos/datasource/collect/collect_intraday_snapshot.py:26: unused variable 'TOOLS_DIR' (60% confidence)
src/custos/datasource/collect/online_quotes.py:46: unused attribute 'trust_env' (60% confidence)
src/custos/datasource/local_tdx/compass_amv.py:366: unused function 'latest_amv' (60% confidence)
src/custos/datasource/local_tdx/fetch_market_cap.py:436: unused function 'market_cap' (60% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:180: unused function '_get_market_code' (60% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:274: unused function 'read_e_odata_daily' (60% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:454: unused function 'get_snapshots' (60% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:555: unused variable 'block_type' (100% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:580: unused variable 'pool_type' (100% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:621: unused variable 'pool_type' (100% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:707: unused function 'save_json' (60% confidence)
src/custos/datasource/local_tdx/local_tdx_data.py:712: unused function 'save_csv' (60% confidence)
src/custos/datasource/local_tdx/stock_names.py:120: unused attribute 'trust_env' (60% confidence)
src/custos/datasource/local_tdx/stock_names.py:137: unused function 'reset_host_cache' (60% confidence)
src/custos/datasource/local_tdx/stock_names.py:523: unused function 'resolve_name_map' (60% confidence)
src/custos/datasource/news/postclose_news_digest.py:42: unused variable 'POLICY_RULE_NOTE' (60% confidence)
src/custos/pipeline/daily_report.py:116: unused function 'adjustment_with_bbi' (60% confidence)
src/custos/pipeline/holdings/b1_holding_state.py:12: unused variable 'TOOLS_DIR' (60% confidence)
src/custos/pipeline/holdings/batch_holding_technical.py:32: unused function 'clear_analysis_cache' (60% confidence)
src/custos/pipeline/holdings/holding_sector_mapper.py:97: unused variable 'user_path' (60% confidence)
src/custos/pipeline/market_timing/market_timing_collector.py:28: unused variable 'TOOLS_DIR' (60% confidence)
src/custos/pipeline/market_timing/theme_tracker_report.py:54: unused variable 'box60' (60% confidence)
src/custos/pipeline/screening/score_candidates.py:569: unused variable 'sector_cap' (60% confidence)
src/custos/research/analyze_winner_features.py:32: unused variable 'ROWS_CACHE' (60% confidence)
src/custos/research/backtest_factors.py:58: unused function '_bbi_series_from' (60% confidence)
src/custos/research/backtest_factors.py:252: unused function 'gate_stats' (60% confidence)
src/custos/research/m2_stop_sweep.py:492: unused attribute 'dwLength' (60% confidence)
